District,LiteracyIndex,GERIndex,CombinedEducationIndex,ISRIndex,IncomeIndex,HDI,,
Nandurbar,0.63,0.677,0.646,0.926,0.24,0.604,,
Gadchiroli,0.706,0.807,0.739,0.937,0.148,0.608,,
Washim,0.817,0.88,0.838,0.955,0.147,0.646,,
Hingoli,0.76,0.787,0.769,0.951,0.223,0.648,,
Osmanabad,0.763,0.819,0.782,0.95,0.214,0.649,,
Nanded,0.769,0.803,0.78,0.97,0.22,0.657,,
Jalna,0.736,0.837,0.77,0.952,0.266,0.663,,
Latur,0.79,0.911,0.831,0.948,0.21,0.663,,
Dhule,0.746,0.837,0.776,0.956,0.282,0.671,,
Beed,0.735,0.904,0.791,0.967,0.274,0.678,,
Parbhani,0.752,0.863,0.789,0.95,0.31,0.683,,
Buldana,0.821,0.876,0.839,0.966,0.246,0.684,,
Yavatmal,0.807,0.849,0.821,0.953,0.325,0.7,,
Gondiya,0.854,0.872,0.86,0.934,0.309,0.701,,
Amravati,0.882,0.86,0.875,0.942,0.288,0.701,,
Bhandara,0.851,0.893,0.865,0.94,0.349,0.718,,
Chandrapur,0.814,0.889,0.839,0.926,0.39,0.718,,
Ahmednagar,0.802,0.879,0.828,0.959,0.372,0.72,,
Akola,0.876,0.856,0.869,0.972,0.324,0.722,,
Wardha,0.872,0.879,0.874,0.939,0.355,0.723,,
Jalgaon,0.797,0.882,0.826,0.952,0.392,0.723,,
Aurangabad,0.804,0.822,0.81,0.956,0.414,0.727,,
Solapur,0.777,0.895,0.817,0.977,0.391,0.728,,
Ratnagiri,0.824,0.89,0.846,0.975,0.376,0.732,,
Satara,0.842,0.857,0.847,0.974,0.405,0.742,,
Sangli,0.826,0.879,0.844,0.967,0.414,0.742,,
Nashik,0.81,0.822,0.814,0.955,0.468,0.746,,
Sindhudurg,0.865,0.875,0.869,0.966,0.424,0.753,,
Raigarh,0.839,0.889,0.855,0.965,0.456,0.759,,
Kolhapur,0.829,0.884,0.847,0.988,0.475,0.77,,
Nagpur,0.895,0.926,0.905,0.961,0.493,0.786,,
Thane,0.862,0.785,0.836,0.967,0.597,0.8,,
Pune,0.872,0.882,0.875,0.973,0.595,0.814,,
Mumbai,0.903,0.855,0.887,0.982,0.654,0.841,,
Maharashtra,0.829,0.854,0.837,0.956,0.463,0.752,,
